Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.0000	1.0908	1.0902
2	4.0000	1.0908	1.0902
3	4.0000	1.0908	1.0902
4	3.0000	0.8181	0.8177
5	4.0000	1.0908	1.0902
6	3.0000	0.8181	0.8177
7	3.0000	0.8181	0.8177
8	4.0000	1.0908	1.0902
9	4.0000	1.0908	1.0902
10	4.0000	1.0908	1.0902
11	4.0000	1.0908	1.0902
12	4.0000	1.0908	1.0902
13	3.0000	0.8181	0.8177
14	4.0000	1.0908	1.0902
15	4.0000	1.0908	1.0902
16	4.0000	1.0908	1.0902
17	4.0000	1.0908	1.0902
18	3.0000	0.8181	0.8177
19	4.0000	1.0908	1.0902
20	4.0000	1.0908	1.0902
21	4.0000	1.0908	1.0902
22	4.0000	1.0908	1.0902
23	4.0000	1.0908	1.0902
24	4.0000	1.0908	1.0902
25	4.0000	1.0908	1.0902
26	4.0000	1.0908	1.0902
27	4.0000	1.0908	1.0902
28	3.0000	0.8181	0.8177
29	3.0000	0.8181	0.8177
30	4.0000	1.0908	1.0902
31	4.0000	1.0908	1.0902
32	2.0000	0.5454	0.5451
33	3.0000	0.8181	0.8177
34	3.0000	0.8181	0.8177
35	4.0000	1.0908	1.0902
36	4.0000	1.0908	1.0902
37	3.0000	0.8181	0.8177
38	4.0000	1.0908	1.0902
39	4.0000	1.0908	1.0902
40	3.0000	0.8181	0.8177
41	3.0000	0.8181	0.8177
42	3.0000	0.8181	0.8177
43	4.0000	1.0908	1.0902
44	4.0000	1.0908	1.0902
45	4.0000	1.0908	1.0902
46	3.0000	0.8181	0.8177
47	4.0000	1.0908	1.0902
48	4.0000	1.0908	1.0902
49	3.0000	0.8181	0.8177
50	4.0000	1.0908	1.0902
51	4.0000	1.0908	1.0902
52	4.0000	1.0908	1.0902
53	3.0000	0.8181	0.8177
54	3.0000	0.8181	0.8177
55	4.0000	1.0908	1.0902
56	3.0000	0.8181	0.8177
57	4.0000	1.0908	1.0902
58	3.0000	0.8181	0.8177
59	4.0000	1.0908	1.0902
60	3.0000	0.8181	0.8177
61	4.0000	1.0908	1.0902
62	3.0000	0.8181	0.8177
63	3.0000	0.8181	0.8177
64	4.0000	1.0908	1.0902
65	3.0000	0.8181	0.8177
66	3.0000	0.8181	0.8177
67	4.0000	1.0908	1.0902
68	4.0000	1.0908	1.0902
69	4.0000	1.0908	1.0902
70	4.0000	1.0908	1.0902
71	3.0000	0.8181	0.8177
72	4.0000	1.0908	1.0902
73	4.0000	1.0908	1.0902
74	3.0000	0.8181	0.8177
75	4.0000	1.0908	1.0902
76	4.0000	1.0908	1.0902
77	4.0000	1.0908	1.0902
78	3.0000	0.8181	0.8177
79	4.0000	1.0908	1.0902
