Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	2.0000	0.2714	0.2670
2	8.0000	1.0855	1.0678
3	9.0000	1.2212	1.2013
4	6.0000	0.8141	0.8009
5	7.0000	0.9498	0.9343
6	9.0000	1.2212	1.2013
7	6.0000	0.8141	0.8009
8	8.0000	1.0855	1.0678
9	10.0000	1.3569	1.3348
10	8.0000	1.0855	1.0678
11	9.0000	1.2212	1.2013
12	6.0000	0.8141	0.8009
13	6.0000	0.8141	0.8009
14	8.0000	1.0855	1.0678
15	7.0000	0.9498	0.9343
16	9.0000	1.2212	1.2013
17	9.0000	1.2212	1.2013
18	7.0000	0.9498	0.9343
19	9.0000	1.2212	1.2013
20	10.0000	1.3569	1.3348
21	2.0000	0.2714	0.2670
22	9.0000	1.2212	1.2013
23	10.0000	1.3569	1.3348
24	9.0000	1.2212	1.2013
25	8.0000	1.0855	1.0678
26	7.0000	0.9498	0.9343
27	9.0000	1.2212	1.2013
28	7.0000	0.9498	0.9343
29	7.0000	0.9498	0.9343
30	7.0000	0.9498	0.9343
31	9.0000	1.2212	1.2013
32	8.0000	1.0855	1.0678
33	7.0000	0.9498	0.9343
34	7.0000	0.9498	0.9343
35	9.0000	1.2212	1.2013
36	8.0000	1.0855	1.0678
37	9.0000	1.2212	1.2013
38	9.0000	1.2212	1.2013
39	10.0000	1.3569	1.3348
40	7.0000	0.9498	0.9343
41	4.0000	0.5427	0.5339
42	9.0000	1.2212	1.2013
43	9.0000	1.2212	1.2013
44	7.0000	0.9498	0.9343
45	10.0000	1.3569	1.3348
46	5.0000	0.6784	0.6674
47	4.0000	0.5427	0.5339
48	9.0000	1.2212	1.2013
49	8.0000	1.0855	1.0678
50	9.0000	1.2212	1.2013
51	4.0000	0.5427	0.5339
52	7.0000	0.9498	0.9343
53	9.0000	1.2212	1.2013
54	9.0000	1.2212	1.2013
55	9.0000	1.2212	1.2013
56	9.0000	1.2212	1.2013
57	10.0000	1.3569	1.3348
58	8.0000	1.0855	1.0678
59	7.0000	0.9498	0.9343
