Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	1.5000	0.3193	0.3204
2	4.5000	0.9579	0.9611
3	4.5000	0.9579	0.9611
4	3.5000	0.7450	0.7475
5	4.5000	0.9579	0.9611
6	4.5000	0.9579	0.9611
7	3.5000	0.7450	0.7475
8	4.5000	0.9579	0.9611
9	4.5000	0.9579	0.9611
10	4.5000	0.9579	0.9611
11	4.5000	0.9579	0.9611
12	4.5000	0.9579	0.9611
13	3.5000	0.7450	0.7475
14	4.5000	0.9579	0.9611
15	4.5000	0.9579	0.9611
16	4.5000	0.9579	0.9611
17	4.5000	0.9579	0.9611
18	4.5000	0.9579	0.9611
19	4.5000	0.9579	0.9611
20	4.5000	0.9579	0.9611
21	2.5000	0.5321	0.5340
22	4.5000	0.9579	0.9611
23	4.5000	0.9579	0.9611
24	4.5000	0.9579	0.9611
25	4.5000	0.9579	0.9611
26	4.5000	0.9579	0.9611
27	4.5000	0.9579	0.9611
28	3.5000	0.7450	0.7475
29	4.5000	0.9579	0.9611
30	4.5000	0.9579	0.9611
31	4.5000	0.9579	0.9611
32	4.5000	0.9579	0.9611
33	4.5000	0.9579	0.9611
34	3.5000	0.7450	0.7475
35	4.5000	0.9579	0.9611
36	4.5000	0.9579	0.9611
37	4.5000	0.9579	0.9611
38	4.5000	0.9579	0.9611
39	4.5000	0.9579	0.9611
40	3.5000	0.7450	0.7475
41	2.5000	0.5321	0.5340
42	4.5000	0.9579	0.9611
43	4.5000	0.9579	0.9611
44	4.5000	0.9579	0.9611
45	4.5000	0.9579	0.9611
46	2.5000	0.5321	0.5340
47	3.5000	0.7450	0.7475
48	4.5000	0.9579	0.9611
49	4.5000	0.9579	0.9611
50	4.5000	0.9579	0.9611
51	2.5000	0.5321	0.5340
52	4.5000	0.9579	0.9611
53	4.5000	0.9579	0.9611
54	4.5000	0.9579	0.9611
55	4.5000	0.9579	0.9611
56	4.5000	0.9579	0.9611
57	4.5000	0.9579	0.9611
58	4.5000	0.9579	0.9611
59	4.5000	0.9579	0.9611
60	4.5000	0.9579	0.9611
61	4.5000	0.9579	0.9611
62	3.5000	0.7450	0.7475
63	4.5000	0.9579	0.9611
64	4.5000	0.9579	0.9611
65	4.5000	0.9579	0.9611
66	3.5000	0.7450	0.7475
67	4.5000	0.9579	0.9611
68	4.5000	0.9579	0.9611
69	4.5000	0.9579	0.9611
70	4.5000	0.9579	0.9611
71	4.5000	0.9579	0.9611
72	4.5000	0.9579	0.9611
73	3.5000	0.7450	0.7475
74	3.5000	0.7450	0.7475
75	4.5000	0.9579	0.9611
76	4.5000	0.9579	0.9611
77	4.5000	0.9579	0.9611
78	4.5000	0.9579	0.9611
79	4.5000	0.9579	0.9611
80	4.5000	0.9579	0.9611
81	4.5000	0.9579	0.9611
82	4.5000	0.9579	0.9611
83	4.5000	0.9579	0.9611
84	4.5000	0.9579	0.9611
85	4.5000	0.9579	0.9611
86	4.5000	0.9579	0.9611
87	4.5000	0.9579	0.9611
88	3.5000	0.7450	0.7475
89	4.5000	0.9579	0.9611
90	4.5000	0.9579	0.9611
91	4.5000	0.9579	0.9611
92	4.5000	0.9579	0.9611
93	4.5000	0.9579	0.9611
94	4.5000	0.9579	0.9611
95	4.5000	0.9579	0.9611
96	4.5000	0.9579	0.9611
97	3.5000	0.7450	0.7475
98	3.5000	0.7450	0.7475
99	3.5000	0.7450	0.7475
100	4.5000	0.9579	0.9611
101	4.5000	0.9579	0.9611
102	4.5000	0.9579	0.9611
103	4.5000	0.9579	0.9611
104	4.5000	0.9579	0.9611
105	4.5000	0.9579	0.9611
106	4.5000	0.9579	0.9611
107	4.5000	0.9579	0.9611
108	4.5000	0.9579	0.9611
109	4.5000	0.9579	0.9611
110	4.5000	0.9579	0.9611
111	4.5000	0.9579	0.9611
112	3.5000	0.7450	0.7475
113	4.5000	0.9579	0.9611
114	4.5000	0.9579	0.9611
115	0.5000	0.1064	0.1068
116	3.5000	0.7450	0.7475
117	4.5000	0.9579	0.9611
118	3.5000	0.7450	0.7475
119	4.5000	0.9579	0.9611
120	4.5000	0.9579	0.9611
121	4.5000	0.9579	0.9611
122	3.5000	0.7450	0.7475
123	3.5000	0.7450	0.7475
124	4.5000	0.9579	0.9611
125	3.5000	0.7450	0.7475
126	4.5000	0.9579	0.9611
127	4.5000	0.9579	0.9611
128	4.5000	0.9579	0.9611
129	4.5000	0.9579	0.9611
130	4.5000	0.9579	0.9611
131	4.5000	0.9579	0.9611
132	4.5000	0.9579	0.9611
133	3.5000	0.7450	0.7475
134	4.5000	0.9579	0.9611
135	4.5000	0.9579	0.9611
136	4.5000	0.9579	0.9611
137	4.5000	0.9579	0.9611
138	4.5000	0.9579	0.9611
139	4.5000	0.9579	0.9611
140	4.5000	0.9579	0.9611
141	4.5000	0.9579	0.9611
142	4.5000	0.9579	0.9611
143	4.5000	0.9579	0.9611
144	4.5000	0.9579	0.9611
145	4.5000	0.9579	0.9611
146	4.5000	0.9579	0.9611
147	4.5000	0.9579	0.9611
148	4.5000	0.9579	0.9611
149	4.5000	0.9579	0.9611
150	3.5000	0.7450	0.7475
151	4.5000	0.9579	0.9611
152	4.5000	0.9579	0.9611
153	4.5000	0.9579	0.9611
154	4.5000	0.9579	0.9611
155	4.5000	0.9579	0.9611
156	3.5000	0.7450	0.7475
157	4.5000	0.9579	0.9611
158	4.5000	0.9579	0.9611
159	4.5000	0.9579	0.9611
160	4.5000	0.9579	0.9611
161	4.5000	0.9579	0.9611
162	4.5000	0.9579	0.9611
163	4.5000	0.9579	0.9611
164	4.5000	0.9579	0.9611
165	4.5000	0.9579	0.9611
166	4.5000	0.9579	0.9611
167	4.5000	0.9579	0.9611
168	4.5000	0.9579	0.9611
169	4.5000	0.9579	0.9611
170	4.5000	0.9579	0.9611
171	4.5000	0.9579	0.9611
172	4.5000	0.9579	0.9611
173	4.5000	0.9579	0.9611
174	4.5000	0.9579	0.9611
175	3.5000	0.7450	0.7475
176	4.5000	0.9579	0.9611
177	4.5000	0.9579	0.9611
178	4.5000	0.9579	0.9611
179	4.5000	0.9579	0.9611
180	4.5000	0.9579	0.9611
181	3.5000	0.7450	0.7475
182	4.5000	0.9579	0.9611
183	4.5000	0.9579	0.9611
184	4.5000	0.9579	0.9611
185	4.5000	0.9579	0.9611
186	4.5000	0.9579	0.9611
187	4.5000	0.9579	0.9611
188	4.5000	0.9579	0.9611
189	4.5000	0.9579	0.9611
190	4.5000	0.9579	0.9611
191	4.5000	0.9579	0.9611
192	4.5000	0.9579	0.9611
193	4.5000	0.9579	0.9611
194	4.5000	0.9579	0.9611
195	4.5000	0.9579	0.9611
196	4.5000	0.9579	0.9611
197	4.5000	0.9579	0.9611
198	4.5000	0.9579	0.9611
199	4.5000	0.9579	0.9611
200	4.5000	0.9579	0.9611
201	4.5000	0.9579	0.9611
202	4.5000	0.9579	0.9611
203	4.5000	0.9579	0.9611
204	4.5000	0.9579	0.9611
205	4.5000	0.9579	0.9611
