Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1.0000	0.2773	0.2750
2	4.0000	1.1093	1.0998
3	4.0000	1.1093	1.0998
4	3.0000	0.8319	0.8249
5	4.0000	1.1093	1.0998
6	4.0000	1.1093	1.0998
7	3.0000	0.8319	0.8249
8	4.0000	1.1093	1.0998
9	4.0000	1.1093	1.0998
10	4.0000	1.1093	1.0998
11	4.0000	1.1093	1.0998
12	3.0000	0.8319	0.8249
13	3.0000	0.8319	0.8249
14	4.0000	1.1093	1.0998
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	4.0000	1.1093	1.0998
18	3.0000	0.8319	0.8249
19	4.0000	1.1093	1.0998
20	4.0000	1.1093	1.0998
21	1.0000	0.2773	0.2750
22	4.0000	1.1093	1.0998
23	4.0000	1.1093	1.0998
24	4.0000	1.1093	1.0998
25	4.0000	1.1093	1.0998
26	4.0000	1.1093	1.0998
27	4.0000	1.1093	1.0998
28	3.0000	0.8319	0.8249
29	4.0000	1.1093	1.0998
30	4.0000	1.1093	1.0998
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	4.0000	1.1093	1.0998
34	3.0000	0.8319	0.8249
35	4.0000	1.1093	1.0998
36	4.0000	1.1093	1.0998
37	4.0000	1.1093	1.0998
38	4.0000	1.1093	1.0998
39	4.0000	1.1093	1.0998
40	3.0000	0.8319	0.8249
41	2.0000	0.5546	0.5499
42	4.0000	1.1093	1.0998
43	4.0000	1.1093	1.0998
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	2.0000	0.5546	0.5499
47	2.0000	0.5546	0.5499
48	4.0000	1.1093	1.0998
49	4.0000	1.1093	1.0998
50	4.0000	1.1093	1.0998
51	2.0000	0.5546	0.5499
52	3.0000	0.8319	0.8249
53	4.0000	1.1093	1.0998
54	4.0000	1.1093	1.0998
55	4.0000	1.1093	1.0998
56	4.0000	1.1093	1.0998
57	4.0000	1.1093	1.0998
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	4.0000	1.1093	1.0998
62	3.0000	0.8319	0.8249
63	4.0000	1.1093	1.0998
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	2.0000	0.5546	0.5499
67	4.0000	1.1093	1.0998
68	4.0000	1.1093	1.0998
69	4.0000	1.1093	1.0998
70	4.0000	1.1093	1.0998
71	4.0000	1.1093	1.0998
72	4.0000	1.1093	1.0998
73	2.0000	0.5546	0.5499
74	3.0000	0.8319	0.8249
75	4.0000	1.1093	1.0998
76	4.0000	1.1093	1.0998
77	4.0000	1.1093	1.0998
78	4.0000	1.1093	1.0998
79	3.0000	0.8319	0.8249
80	4.0000	1.1093	1.0998
81	4.0000	1.1093	1.0998
82	4.0000	1.1093	1.0998
83	4.0000	1.1093	1.0998
84	4.0000	1.1093	1.0998
85	4.0000	1.1093	1.0998
86	3.0000	0.8319	0.8249
87	4.0000	1.1093	1.0998
88	3.0000	0.8319	0.8249
89	3.0000	0.8319	0.8249
90	4.0000	1.1093	1.0998
91	4.0000	1.1093	1.0998
92	4.0000	1.1093	1.0998
93	4.0000	1.1093	1.0998
94	4.0000	1.1093	1.0998
95	4.0000	1.1093	1.0998
96	4.0000	1.1093	1.0998
97	3.0000	0.8319	0.8249
98	3.0000	0.8319	0.8249
99	2.0000	0.5546	0.5499
100	4.0000	1.1093	1.0998
101	4.0000	1.1093	1.0998
102	4.0000	1.1093	1.0998
103	4.0000	1.1093	1.0998
104	4.0000	1.1093	1.0998
