Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	11.0000	1.0288	1.0040
2	14.0000	1.3094	1.2778
3	12.0000	1.1223	1.0953
4	12.0000	1.1223	1.0953
5	14.0000	1.3094	1.2778
6	14.0000	1.3094	1.2778
7	12.0000	1.1223	1.0953
8	13.0000	1.2159	1.1866
9	12.0000	1.1223	1.0953
10	12.0000	1.1223	1.0953
11	11.0000	1.0288	1.0040
12	12.0000	1.1223	1.0953
13	11.0000	1.0288	1.0040
14	12.0000	1.1223	1.0953
15	7.0000	0.6547	0.6389
16	8.0000	0.7482	0.7302
17	12.0000	1.1223	1.0953
18	10.0000	0.9353	0.9127
19	6.0000	0.5612	0.5476
20	10.0000	0.9353	0.9127
21	10.0000	0.9353	0.9127
22	12.0000	1.1223	1.0953
23	11.0000	1.0288	1.0040
24	12.0000	1.1223	1.0953
25	10.0000	0.9353	0.9127
26	14.0000	1.3094	1.2778
27	12.0000	1.1223	1.0953
28	12.0000	1.1223	1.0953
29	13.0000	1.2159	1.1866
30	12.0000	1.1223	1.0953
31	12.0000	1.1223	1.0953
32	13.0000	1.2159	1.1866
33	12.0000	1.1223	1.0953
34	12.0000	1.1223	1.0953
35	13.0000	1.2159	1.1866
36	9.0000	0.8418	0.8215
37	14.0000	1.3094	1.2778
38	12.0000	1.1223	1.0953
39	12.0000	1.1223	1.0953
40	10.0000	0.9353	0.9127
41	10.0000	0.9353	0.9127
42	10.0000	0.9353	0.9127
43	14.0000	1.3094	1.2778
44	8.0000	0.7482	0.7302
45	10.0000	0.9353	0.9127
46	8.0000	0.7482	0.7302
47	12.0000	1.1223	1.0953
48	10.0000	0.9353	0.9127
49	14.0000	1.3094	1.2778
50	12.0000	1.1223	1.0953
51	10.0000	0.9353	0.9127
52	10.0000	0.9353	0.9127
53	10.0000	0.9353	0.9127
54	13.0000	1.2159	1.1866
55	10.0000	0.9353	0.9127
56	11.0000	1.0288	1.0040
57	12.0000	1.1223	1.0953
58	10.0000	0.9353	0.9127
59	13.0000	1.2159	1.1866
60	12.0000	1.1223	1.0953
61	13.0000	1.2159	1.1866
62	10.0000	0.9353	0.9127
63	12.0000	1.1223	1.0953
64	8.0000	0.7482	0.7302
65	12.0000	1.1223	1.0953
66	14.0000	1.3094	1.2778
67	12.0000	1.1223	1.0953
68	8.0000	0.7482	0.7302
69	12.0000	1.1223	1.0953
70	12.0000	1.1223	1.0953
71	10.0000	0.9353	0.9127
72	12.0000	1.1223	1.0953
73	9.0000	0.8418	0.8215
74	10.0000	0.9353	0.9127
75	14.0000	1.3094	1.2778
76	10.0000	0.9353	0.9127
77	14.0000	1.3094	1.2778
78	10.0000	0.9353	0.9127
79	12.0000	1.1223	1.0953
80	13.0000	1.2159	1.1866
81	8.0000	0.7482	0.7302
82	14.0000	1.3094	1.2778
83	13.0000	1.2159	1.1866
84	12.0000	1.1223	1.0953
85	10.0000	0.9353	0.9127
86	10.0000	0.9353	0.9127
87	12.0000	1.1223	1.0953
88	10.0000	0.9353	0.9127
89	6.0000	0.5612	0.5476
90	8.0000	0.7482	0.7302
91	8.0000	0.7482	0.7302
92	13.0000	1.2159	1.1866
93	9.0000	0.8418	0.8215
94	12.0000	1.1223	1.0953
95	8.0000	0.7482	0.7302
96	12.0000	1.1223	1.0953
97	10.0000	0.9353	0.9127
98	11.0000	1.0288	1.0040
99	13.0000	1.2159	1.1866
100	10.0000	0.9353	0.9127
101	12.0000	1.1223	1.0953
102	12.0000	1.1223	1.0953
103	6.0000	0.5612	0.5476
104	13.0000	1.2159	1.1866
105	11.0000	1.0288	1.0040
106	12.0000	1.1223	1.0953
107	14.0000	1.3094	1.2778
108	9.0000	0.8418	0.8215
109	14.0000	1.3094	1.2778
110	8.0000	0.7482	0.7302
111	10.0000	0.9353	0.9127
112	13.0000	1.2159	1.1866
113	12.0000	1.1223	1.0953
114	10.0000	0.9353	0.9127
115	8.0000	0.7482	0.7302
116	13.0000	1.2159	1.1866
117	12.0000	1.1223	1.0953
118	8.0000	0.7482	0.7302
119	14.0000	1.3094	1.2778
120	12.0000	1.1223	1.0953
121	10.0000	0.9353	0.9127
122	10.0000	0.9353	0.9127
123	10.0000	0.9353	0.9127
124	12.0000	1.1223	1.0953
125	10.0000	0.9353	0.9127
126	10.0000	0.9353	0.9127
127	10.0000	0.9353	0.9127
128	8.0000	0.7482	0.7302
129	6.0000	0.5612	0.5476
130	11.0000	1.0288	1.0040
131	11.0000	1.0288	1.0040
132	11.0000	1.0288	1.0040
133	10.0000	0.9353	0.9127
134	8.0000	0.7482	0.7302
135	12.0000	1.1223	1.0953
136	10.0000	0.9353	0.9127
137	14.0000	1.3094	1.2778
138	12.0000	1.1223	1.0953
139	11.0000	1.0288	1.0040
140	12.0000	1.1223	1.0953
141	6.0000	0.5612	0.5476
142	13.0000	1.2159	1.1866
143	12.0000	1.1223	1.0953
144	8.0000	0.7482	0.7302
145	12.0000	1.1223	1.0953
146	12.0000	1.1223	1.0953
147	12.0000	1.1223	1.0953
148	10.0000	0.9353	0.9127
149	10.0000	0.9353	0.9127
150	11.0000	1.0288	1.0040
151	7.0000	0.6547	0.6389
152	12.0000	1.1223	1.0953
153	10.0000	0.9353	0.9127
154	9.0000	0.8418	0.8215
155	14.0000	1.3094	1.2778
156	11.0000	1.0288	1.0040
157	14.0000	1.3094	1.2778
158	10.0000	0.9353	0.9127
159	13.0000	1.2159	1.1866
160	10.0000	0.9353	0.9127
161	12.0000	1.1223	1.0953
162	14.0000	1.3094	1.2778
163	12.0000	1.1223	1.0953
164	12.0000	1.1223	1.0953
165	12.0000	1.1223	1.0953
166	8.0000	0.7482	0.7302
167	13.0000	1.2159	1.1866
168	10.0000	0.9353	0.9127
169	10.0000	0.9353	0.9127
170	11.0000	1.0288	1.0040
171	14.0000	1.3094	1.2778
172	10.0000	0.9353	0.9127
