Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	2.0000	0.6042	0.5908
2	3.0000	0.9063	0.8863
3	4.0000	1.2085	1.1817
4	4.0000	1.2085	1.1817
5	3.0000	0.9063	0.8863
6	3.0000	0.9063	0.8863
7	3.0000	0.9063	0.8863
8	4.0000	1.2085	1.1817
9	3.0000	0.9063	0.8863
10	3.0000	0.9063	0.8863
11	2.0000	0.6042	0.5908
12	3.0000	0.9063	0.8863
13	3.0000	0.9063	0.8863
14	2.0000	0.6042	0.5908
15	4.0000	1.2085	1.1817
16	2.0000	0.6042	0.5908
17	2.0000	0.6042	0.5908
18	4.0000	1.2085	1.1817
19	4.0000	1.2085	1.1817
20	2.0000	0.6042	0.5908
21	2.0000	0.6042	0.5908
22	3.0000	0.9063	0.8863
23	2.0000	0.6042	0.5908
24	4.0000	1.2085	1.1817
25	3.0000	0.9063	0.8863
26	4.0000	1.2085	1.1817
27	3.0000	0.9063	0.8863
28	2.0000	0.6042	0.5908
29	6.0000	1.8127	1.7725
30	3.0000	0.9063	0.8863
31	2.0000	0.6042	0.5908
32	4.0000	1.2085	1.1817
33	6.0000	1.8127	1.7725
34	3.0000	0.9063	0.8863
35	4.0000	1.2085	1.1817
36	3.0000	0.9063	0.8863
37	2.0000	0.6042	0.5908
38	4.0000	1.2085	1.1817
39	4.0000	1.2085	1.1817
40	3.0000	0.9063	0.8863
41	4.0000	1.2085	1.1817
42	3.0000	0.9063	0.8863
43	3.0000	0.9063	0.8863
44	3.0000	0.9063	0.8863
45	4.0000	1.2085	1.1817
46	6.0000	1.8127	1.7725
47	4.0000	1.2085	1.1817
48	4.0000	1.2085	1.1817
49	3.0000	0.9063	0.8863
50	4.0000	1.2085	1.1817
51	2.0000	0.6042	0.5908
52	3.0000	0.9063	0.8863
53	6.0000	1.8127	1.7725
54	3.0000	0.9063	0.8863
55	3.0000	0.9063	0.8863
56	3.0000	0.9063	0.8863
57	3.0000	0.9063	0.8863
58	4.0000	1.2085	1.1817
59	4.0000	1.2085	1.1817
60	2.0000	0.6042	0.5908
61	2.0000	0.6042	0.5908
62	2.0000	0.6042	0.5908
63	2.0000	0.6042	0.5908
64	3.0000	0.9063	0.8863
65	3.0000	0.9063	0.8863
66	2.0000	0.6042	0.5908
67	4.0000	1.2085	1.1817
68	4.0000	1.2085	1.1817
69	2.0000	0.6042	0.5908
