Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	2.0000	1.4184	1.4514
2	0.0000	0.0000	0.0000
3	2.0000	1.4184	1.4514
4	2.0000	1.4184	1.4514
5	2.0000	1.4184	1.4514
6	2.0000	1.4184	1.4514
7	2.0000	1.4184	1.4514
8	2.0000	1.4184	1.4514
9	2.0000	1.4184	1.4514
10	0.0000	0.0000	0.0000
11	2.0000	1.4184	1.4514
12	2.0000	1.4184	1.4514
13	0.0000	0.0000	0.0000
14	0.0000	0.0000	0.0000
15	2.0000	1.4184	1.4514
16	0.0000	0.0000	0.0000
17	2.0000	1.4184	1.4514
18	2.0000	1.4184	1.4514
19	2.0000	1.4184	1.4514
20	0.0000	0.0000	0.0000
21	0.0000	0.0000	0.0000
22	0.0000	0.0000	0.0000
23	2.0000	1.4184	1.4514
24	2.0000	1.4184	1.4514
25	2.0000	1.4184	1.4514
26	2.0000	1.4184	1.4514
27	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000
29	0.0000	0.0000	0.0000
30	2.0000	1.4184	1.4514
31	2.0000	1.4184	1.4514
32	2.0000	1.4184	1.4514
33	0.0000	0.0000	0.0000
34	2.0000	1.4184	1.4514
35	2.0000	1.4184	1.4514
36	2.0000	1.4184	1.4514
37	2.0000	1.4184	1.4514
38	2.0000	1.4184	1.4514
39	2.0000	1.4184	1.4514
40	2.0000	1.4184	1.4514
41	2.0000	1.4184	1.4514
42	0.0000	0.0000	0.0000
43	2.0000	1.4184	1.4514
44	2.0000	1.4184	1.4514
45	2.0000	1.4184	1.4514
46	0.0000	0.0000	0.0000
47	2.0000	1.4184	1.4514
48	2.0000	1.4184	1.4514
49	0.0000	0.0000	0.0000
50	2.0000	1.4184	1.4514
51	0.0000	0.0000	0.0000
52	2.0000	1.4184	1.4514
53	0.0000	0.0000	0.0000
54	2.0000	1.4184	1.4514
55	2.0000	1.4184	1.4514
56	2.0000	1.4184	1.4514
57	2.0000	1.4184	1.4514
58	2.0000	1.4184	1.4514
59	2.0000	1.4184	1.4514
60	0.0000	0.0000	0.0000
61	2.0000	1.4184	1.4514
62	2.0000	1.4184	1.4514
63	2.0000	1.4184	1.4514
64	2.0000	1.4184	1.4514
65	0.0000	0.0000	0.0000
66	0.0000	0.0000	0.0000
67	2.0000	1.4184	1.4514
68	2.0000	1.4184	1.4514
69	0.0000	0.0000	0.0000
70	2.0000	1.4184	1.4514
71	2.0000	1.4184	1.4514
72	2.0000	1.4184	1.4514
73	2.0000	1.4184	1.4514
74	2.0000	1.4184	1.4514
75	2.0000	1.4184	1.4514
76	2.0000	1.4184	1.4514
77	2.0000	1.4184	1.4514
78	2.0000	1.4184	1.4514
79	2.0000	1.4184	1.4514
80	2.0000	1.4184	1.4514
81	2.0000	1.4184	1.4514
82	0.0000	0.0000	0.0000
83	0.0000	0.0000	0.0000
84	2.0000	1.4184	1.4514
85	2.0000	1.4184	1.4514
86	0.0000	0.0000	0.0000
87	2.0000	1.4184	1.4514
88	2.0000	1.4184	1.4514
89	2.0000	1.4184	1.4514
90	0.0000	0.0000	0.0000
91	0.0000	0.0000	0.0000
92	0.0000	0.0000	0.0000
93	2.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	2.0000	1.4184	1.4514
96	2.0000	1.4184	1.4514
97	2.0000	1.4184	1.4514
98	2.0000	1.4184	1.4514
99	2.0000	1.4184	1.4514
100	2.0000	1.4184	1.4514
101	2.0000	1.4184	1.4514
102	0.0000	0.0000	0.0000
103	0.0000	0.0000	0.0000
104	0.0000	0.0000	0.0000
105	2.0000	1.4184	1.4514
106	0.0000	0.0000	0.0000
107	2.0000	1.4184	1.4514
108	2.0000	1.4184	1.4514
109	0.0000	0.0000	0.0000
110	2.0000	1.4184	1.4514
111	2.0000	1.4184	1.4514
112	2.0000	1.4184	1.4514
113	2.0000	1.4184	1.4514
114	0.0000	0.0000	0.0000
115	0.0000	0.0000	0.0000
116	0.0000	0.0000	0.0000
117	2.0000	1.4184	1.4514
118	2.0000	1.4184	1.4514
119	0.0000	0.0000	0.0000
120	2.0000	1.4184	1.4514
121	2.0000	1.4184	1.4514
122	2.0000	1.4184	1.4514
123	2.0000	1.4184	1.4514
124	0.0000	0.0000	0.0000
125	2.0000	1.4184	1.4514
126	0.0000	0.0000	0.0000
127	0.0000	0.0000	0.0000
128	2.0000	1.4184	1.4514
129	2.0000	1.4184	1.4514
130	2.0000	1.4184	1.4514
131	2.0000	1.4184	1.4514
132	0.0000	0.0000	0.0000
133	2.0000	1.4184	1.4514
134	0.0000	0.0000	0.0000
135	0.0000	0.0000	0.0000
136	2.0000	1.4184	1.4514
137	0.0000	0.0000	0.0000
138	2.0000	1.4184	1.4514
139	2.0000	1.4184	1.4514
140	0.0000	0.0000	0.0000
141	2.0000	1.4184	1.4514
142	0.0000	0.0000	0.0000
143	2.0000	1.4184	1.4514
144	2.0000	1.4184	1.4514
145	2.0000	1.4184	1.4514
146	2.0000	1.4184	1.4514
147	2.0000	1.4184	1.4514
148	2.0000	1.4184	1.4514
149	0.0000	0.0000	0.0000
150	2.0000	1.4184	1.4514
151	2.0000	1.4184	1.4514
152	0.0000	0.0000	0.0000
153	0.0000	0.0000	0.0000
154	2.0000	1.4184	1.4514
155	0.0000	0.0000	0.0000
156	2.0000	1.4184	1.4514
157	2.0000	1.4184	1.4514
158	2.0000	1.4184	1.4514
159	2.0000	1.4184	1.4514
160	2.0000	1.4184	1.4514
161	2.0000	1.4184	1.4514
162	2.0000	1.4184	1.4514
163	2.0000	1.4184	1.4514
164	0.0000	0.0000	0.0000
165	0.0000	0.0000	0.0000
166	2.0000	1.4184	1.4514
167	0.0000	0.0000	0.0000
168	0.0000	0.0000	0.0000
169	2.0000	1.4184	1.4514
170	2.0000	1.4184	1.4514
171	0.0000	0.0000	0.0000
172	2.0000	1.4184	1.4514
173	2.0000	1.4184	1.4514
174	0.0000	0.0000	0.0000
175	0.0000	0.0000	0.0000
176	2.0000	1.4184	1.4514
177	0.0000	0.0000	0.0000
178	0.0000	0.0000	0.0000
179	2.0000	1.4184	1.4514
180	2.0000	1.4184	1.4514
181	0.0000	0.0000	0.0000
182	2.0000	1.4184	1.4514
183	0.0000	0.0000	0.0000
184	2.0000	1.4184	1.4514
185	2.0000	1.4184	1.4514
186	2.0000	1.4184	1.4514
187	0.0000	0.0000	0.0000
188	2.0000	1.4184	1.4514
189	2.0000	1.4184	1.4514
190	2.0000	1.4184	1.4514
191	2.0000	1.4184	1.4514
192	0.0000	0.0000	0.0000
193	2.0000	1.4184	1.4514
194	2.0000	1.4184	1.4514
195	0.0000	0.0000	0.0000
196	2.0000	1.4184	1.4514
197	2.0000	1.4184	1.4514
198	2.0000	1.4184	1.4514
199	2.0000	1.4184	1.4514
200	2.0000	1.4184	1.4514
201	2.0000	1.4184	1.4514
202	0.0000	0.0000	0.0000
203	2.0000	1.4184	1.4514
204	2.0000	1.4184	1.4514
205	0.0000	0.0000	0.0000
206	2.0000	1.4184	1.4514
207	2.0000	1.4184	1.4514
208	2.0000	1.4184	1.4514
209	2.0000	1.4184	1.4514
210	2.0000	1.4184	1.4514
211	0.0000	0.0000	0.0000
212	2.0000	1.4184	1.4514
213	2.0000	1.4184	1.4514
214	2.0000	1.4184	1.4514
215	0.0000	0.0000	0.0000
216	2.0000	1.4184	1.4514
217	2.0000	1.4184	1.4514
218	0.0000	0.0000	0.0000
219	2.0000	1.4184	1.4514
220	0.0000	0.0000	0.0000
221	2.0000	1.4184	1.4514
222	2.0000	1.4184	1.4514
223	0.0000	0.0000	0.0000
224	2.0000	1.4184	1.4514
225	2.0000	1.4184	1.4514
226	0.0000	0.0000	0.0000
227	0.0000	0.0000	0.0000
228	2.0000	1.4184	1.4514
229	2.0000	1.4184	1.4514
230	2.0000	1.4184	1.4514
231	2.0000	1.4184	1.4514
232	2.0000	1.4184	1.4514
233	2.0000	1.4184	1.4514
234	2.0000	1.4184	1.4514
235	0.0000	0.0000	0.0000
236	2.0000	1.4184	1.4514
237	2.0000	1.4184	1.4514
238	2.0000	1.4184	1.4514
239	2.0000	1.4184	1.4514
240	0.0000	0.0000	0.0000
241	0.0000	0.0000	0.0000
242	0.0000	0.0000	0.0000
243	2.0000	1.4184	1.4514
244	0.0000	0.0000	0.0000
245	0.0000	0.0000	0.0000
246	2.0000	1.4184	1.4514
247	2.0000	1.4184	1.4514
248	0.0000	0.0000	0.0000
249	0.0000	0.0000	0.0000
250	2.0000	1.4184	1.4514
251	2.0000	1.4184	1.4514
252	0.0000	0.0000	0.0000
253	2.0000	1.4184	1.4514
254	0.0000	0.0000	0.0000
255	0.0000	0.0000	0.0000
256	2.0000	1.4184	1.4514
257	2.0000	1.4184	1.4514
258	2.0000	1.4184	1.4514
259	0.0000	0.0000	0.0000
260	0.0000	0.0000	0.0000
261	0.0000	0.0000	0.0000
262	2.0000	1.4184	1.4514
263	2.0000	1.4184	1.4514
264	0.0000	0.0000	0.0000
265	0.0000	0.0000	0.0000
