Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	1.0000	0.6184	0.6158
2	1.0000	0.6184	0.6158
3	2.0000	1.2369	1.2315
4	2.0000	1.2369	1.2315
5	2.0000	1.2369	1.2315
6	2.0000	1.2369	1.2315
7	2.0000	1.2369	1.2315
8	2.0000	1.2369	1.2315
9	2.0000	1.2369	1.2315
10	1.0000	0.6184	0.6158
11	1.0000	0.6184	0.6158
12	2.0000	1.2369	1.2315
13	1.0000	0.6184	0.6158
14	1.0000	0.6184	0.6158
15	2.0000	1.2369	1.2315
16	1.0000	0.6184	0.6158
17	1.0000	0.6184	0.6158
18	2.0000	1.2369	1.2315
19	2.0000	1.2369	1.2315
20	1.0000	0.6184	0.6158
21	1.0000	0.6184	0.6158
22	1.0000	0.6184	0.6158
23	1.0000	0.6184	0.6158
24	2.0000	1.2369	1.2315
25	2.0000	1.2369	1.2315
26	2.0000	1.2369	1.2315
27	1.0000	0.6184	0.6158
28	1.0000	0.6184	0.6158
29	2.0000	1.2369	1.2315
30	2.0000	1.2369	1.2315
31	1.0000	0.6184	0.6158
32	2.0000	1.2369	1.2315
33	2.0000	1.2369	1.2315
34	2.0000	1.2369	1.2315
35	2.0000	1.2369	1.2315
36	2.0000	1.2369	1.2315
37	1.0000	0.6184	0.6158
38	2.0000	1.2369	1.2315
39	2.0000	1.2369	1.2315
40	2.0000	1.2369	1.2315
41	2.0000	1.2369	1.2315
42	1.0000	0.6184	0.6158
43	2.0000	1.2369	1.2315
44	2.0000	1.2369	1.2315
45	2.0000	1.2369	1.2315
46	2.0000	1.2369	1.2315
47	2.0000	1.2369	1.2315
48	2.0000	1.2369	1.2315
49	1.0000	0.6184	0.6158
50	2.0000	1.2369	1.2315
51	1.0000	0.6184	0.6158
52	2.0000	1.2369	1.2315
53	2.0000	1.2369	1.2315
54	2.0000	1.2369	1.2315
55	2.0000	1.2369	1.2315
56	2.0000	1.2369	1.2315
57	2.0000	1.2369	1.2315
58	2.0000	1.2369	1.2315
59	2.0000	1.2369	1.2315
60	1.0000	0.6184	0.6158
61	1.0000	0.6184	0.6158
62	1.0000	0.6184	0.6158
63	1.0000	0.6184	0.6158
64	2.0000	1.2369	1.2315
65	1.0000	0.6184	0.6158
66	1.0000	0.6184	0.6158
67	2.0000	1.2369	1.2315
68	2.0000	1.2369	1.2315
69	1.0000	0.6184	0.6158
70	1.0000	0.6184	0.6158
71	2.0000	1.2369	1.2315
72	1.0000	0.6184	0.6158
73	2.0000	1.2369	1.2315
74	2.0000	1.2369	1.2315
75	2.0000	1.2369	1.2315
76	2.0000	1.2369	1.2315
77	2.0000	1.2369	1.2315
78	1.0000	0.6184	0.6158
79	1.0000	0.6184	0.6158
80	2.0000	1.2369	1.2315
81	2.0000	1.2369	1.2315
82	1.0000	0.6184	0.6158
83	2.0000	1.2369	1.2315
84	1.0000	0.6184	0.6158
85	2.0000	1.2369	1.2315
86	1.0000	0.6184	0.6158
87	2.0000	1.2369	1.2315
88	1.0000	0.6184	0.6158
89	2.0000	1.2369	1.2315
90	2.0000	1.2369	1.2315
91	1.0000	0.6184	0.6158
92	1.0000	0.6184	0.6158
93	2.0000	1.2369	1.2315
94	1.0000	0.6184	0.6158
95	2.0000	1.2369	1.2315
96	2.0000	1.2369	1.2315
97	2.0000	1.2369	1.2315
98	2.0000	1.2369	1.2315
99	2.0000	1.2369	1.2315
100	2.0000	1.2369	1.2315
101	1.0000	0.6184	0.6158
102	1.0000	0.6184	0.6158
103	1.0000	0.6184	0.6158
104	2.0000	1.2369	1.2315
105	2.0000	1.2369	1.2315
106	1.0000	0.6184	0.6158
107	2.0000	1.2369	1.2315
108	2.0000	1.2369	1.2315
109	1.0000	0.6184	0.6158
110	2.0000	1.2369	1.2315
111	2.0000	1.2369	1.2315
112	2.0000	1.2369	1.2315
113	2.0000	1.2369	1.2315
114	2.0000	1.2369	1.2315
115	1.0000	0.6184	0.6158
116	1.0000	0.6184	0.6158
117	2.0000	1.2369	1.2315
118	2.0000	1.2369	1.2315
