Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	6.0000	1.1940	1.1721
2	6.0000	1.1940	1.1721
3	6.0000	1.1940	1.1721
4	4.0000	0.7960	0.7814
5	6.0000	1.1940	1.1721
6	6.0000	1.1940	1.1721
7	4.0000	0.7960	0.7814
8	6.0000	1.1940	1.1721
9	7.0000	1.3930	1.3675
10	7.0000	1.3930	1.3675
11	4.0000	0.7960	0.7814
12	6.0000	1.1940	1.1721
13	6.0000	1.1940	1.1721
14	4.0000	0.7960	0.7814
15	2.0000	0.3980	0.3907
16	4.0000	0.7960	0.7814
17	5.0000	0.9950	0.9768
18	4.0000	0.7960	0.7814
19	2.0000	0.3980	0.3907
20	6.0000	1.1940	1.1721
21	4.0000	0.7960	0.7814
22	6.0000	1.1940	1.1721
23	6.0000	1.1940	1.1721
24	6.0000	1.1940	1.1721
25	5.0000	0.9950	0.9768
26	5.0000	0.9950	0.9768
27	4.0000	0.7960	0.7814
28	4.0000	0.7960	0.7814
29	5.0000	0.9950	0.9768
30	6.0000	1.1940	1.1721
31	6.0000	1.1940	1.1721
32	4.0000	0.7960	0.7814
33	6.0000	1.1940	1.1721
34	6.0000	1.1940	1.1721
35	6.0000	1.1940	1.1721
36	4.0000	0.7960	0.7814
37	4.0000	0.7960	0.7814
38	6.0000	1.1940	1.1721
39	6.0000	1.1940	1.1721
40	4.0000	0.7960	0.7814
41	6.0000	1.1940	1.1721
42	6.0000	1.1940	1.1721
43	3.0000	0.5970	0.5861
44	7.0000	1.3930	1.3675
45	3.0000	0.5970	0.5861
46	4.0000	0.7960	0.7814
47	6.0000	1.1940	1.1721
48	4.0000	0.7960	0.7814
49	5.0000	0.9950	0.9768
50	4.0000	0.7960	0.7814
51	4.0000	0.7960	0.7814
52	6.0000	1.1940	1.1721
53	5.0000	0.9950	0.9768
54	7.0000	1.3930	1.3675
55	5.0000	0.9950	0.9768
56	6.0000	1.1940	1.1721
57	6.0000	1.1940	1.1721
58	7.0000	1.3930	1.3675
59	6.0000	1.1940	1.1721
60	4.0000	0.7960	0.7814
61	6.0000	1.1940	1.1721
62	4.0000	0.7960	0.7814
63	6.0000	1.1940	1.1721
64	4.0000	0.7960	0.7814
65	3.0000	0.5970	0.5861
66	5.0000	0.9950	0.9768
67	6.0000	1.1940	1.1721
68	4.0000	0.7960	0.7814
69	5.0000	0.9950	0.9768
70	4.0000	0.7960	0.7814
71	4.0000	0.7960	0.7814
72	6.0000	1.1940	1.1721
73	7.0000	1.3930	1.3675
74	4.0000	0.7960	0.7814
75	6.0000	1.1940	1.1721
76	5.0000	0.9950	0.9768
77	6.0000	1.1940	1.1721
78	6.0000	1.1940	1.1721
79	6.0000	1.1940	1.1721
80	4.0000	0.7960	0.7814
81	7.0000	1.3930	1.3675
82	6.0000	1.1940	1.1721
83	7.0000	1.3930	1.3675
84	4.0000	0.7960	0.7814
85	7.0000	1.3930	1.3675
86	6.0000	1.1940	1.1721
87	6.0000	1.1940	1.1721
88	4.0000	0.7960	0.7814
89	4.0000	0.7960	0.7814
90	6.0000	1.1940	1.1721
91	6.0000	1.1940	1.1721
92	6.0000	1.1940	1.1721
93	6.0000	1.1940	1.1721
94	6.0000	1.1940	1.1721
95	3.0000	0.5970	0.5861
96	6.0000	1.1940	1.1721
97	3.0000	0.5970	0.5861
98	2.0000	0.3980	0.3907
99	3.0000	0.5970	0.5861
100	6.0000	1.1940	1.1721
101	7.0000	1.3930	1.3675
102	4.0000	0.7960	0.7814
103	6.0000	1.1940	1.1721
104	6.0000	1.1940	1.1721
105	7.0000	1.3930	1.3675
106	6.0000	1.1940	1.1721
107	6.0000	1.1940	1.1721
108	5.0000	0.9950	0.9768
109	3.0000	0.5970	0.5861
110	3.0000	0.5970	0.5861
111	5.0000	0.9950	0.9768
112	4.0000	0.7960	0.7814
113	4.0000	0.7960	0.7814
114	4.0000	0.7960	0.7814
115	7.0000	1.3930	1.3675
116	6.0000	1.1940	1.1721
117	4.0000	0.7960	0.7814
118	4.0000	0.7960	0.7814
119	4.0000	0.7960	0.7814
120	3.0000	0.5970	0.5861
121	6.0000	1.1940	1.1721
122	6.0000	1.1940	1.1721
123	6.0000	1.1940	1.1721
124	4.0000	0.7960	0.7814
125	7.0000	1.3930	1.3675
126	3.0000	0.5970	0.5861
127	6.0000	1.1940	1.1721
128	4.0000	0.7960	0.7814
129	6.0000	1.1940	1.1721
130	6.0000	1.1940	1.1721
131	4.0000	0.7960	0.7814
132	6.0000	1.1940	1.1721
133	4.0000	0.7960	0.7814
134	4.0000	0.7960	0.7814
135	6.0000	1.1940	1.1721
136	6.0000	1.1940	1.1721
137	4.0000	0.7960	0.7814
138	3.0000	0.5970	0.5861
139	7.0000	1.3930	1.3675
140	6.0000	1.1940	1.1721
141	6.0000	1.1940	1.1721
142	6.0000	1.1940	1.1721
143	6.0000	1.1940	1.1721
144	3.0000	0.5970	0.5861
145	6.0000	1.1940	1.1721
146	6.0000	1.1940	1.1721
147	4.0000	0.7960	0.7814
148	6.0000	1.1940	1.1721
149	3.0000	0.5970	0.5861
150	6.0000	1.1940	1.1721
151	3.0000	0.5970	0.5861
152	6.0000	1.1940	1.1721
153	7.0000	1.3930	1.3675
154	4.0000	0.7960	0.7814
155	4.0000	0.7960	0.7814
156	6.0000	1.1940	1.1721
157	6.0000	1.1940	1.1721
