Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	3.0000	1.1610	1.1385
3	3.0000	1.1610	1.1385
4	2.0000	0.7740	0.7590
5	3.0000	1.1610	1.1385
6	3.0000	1.1610	1.1385
7	2.0000	0.7740	0.7590
8	3.0000	1.1610	1.1385
9	3.0000	1.1610	1.1385
10	3.0000	1.1610	1.1385
11	2.0000	0.7740	0.7590
12	3.0000	1.1610	1.1385
13	3.0000	1.1610	1.1385
14	2.0000	0.7740	0.7590
15	1.0000	0.3870	0.3795
16	2.0000	0.7740	0.7590
17	3.0000	1.1610	1.1385
18	2.0000	0.7740	0.7590
19	1.0000	0.3870	0.3795
20	3.0000	1.1610	1.1385
21	3.0000	1.1610	1.1385
22	3.0000	1.1610	1.1385
23	3.0000	1.1610	1.1385
24	3.0000	1.1610	1.1385
25	3.0000	1.1610	1.1385
26	3.0000	1.1610	1.1385
27	2.0000	0.7740	0.7590
28	2.0000	0.7740	0.7590
29	3.0000	1.1610	1.1385
30	3.0000	1.1610	1.1385
31	3.0000	1.1610	1.1385
32	2.0000	0.7740	0.7590
33	3.0000	1.1610	1.1385
34	3.0000	1.1610	1.1385
35	3.0000	1.1610	1.1385
36	2.0000	0.7740	0.7590
37	2.0000	0.7740	0.7590
38	3.0000	1.1610	1.1385
39	3.0000	1.1610	1.1385
40	2.0000	0.7740	0.7590
41	3.0000	1.1610	1.1385
42	3.0000	1.1610	1.1385
43	1.0000	0.3870	0.3795
44	3.0000	1.1610	1.1385
45	1.0000	0.3870	0.3795
46	2.0000	0.7740	0.7590
47	3.0000	1.1610	1.1385
48	2.0000	0.7740	0.7590
49	3.0000	1.1610	1.1385
50	2.0000	0.7740	0.7590
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	3.0000	1.1610	1.1385
54	3.0000	1.1610	1.1385
55	3.0000	1.1610	1.1385
56	3.0000	1.1610	1.1385
57	3.0000	1.1610	1.1385
58	3.0000	1.1610	1.1385
59	3.0000	1.1610	1.1385
60	2.0000	0.7740	0.7590
61	3.0000	1.1610	1.1385
62	2.0000	0.7740	0.7590
63	3.0000	1.1610	1.1385
64	2.0000	0.7740	0.7590
65	2.0000	0.7740	0.7590
66	3.0000	1.1610	1.1385
67	3.0000	1.1610	1.1385
68	2.0000	0.7740	0.7590
69	3.0000	1.1610	1.1385
70	3.0000	1.1610	1.1385
71	2.0000	0.7740	0.7590
72	3.0000	1.1610	1.1385
73	3.0000	1.1610	1.1385
74	2.0000	0.7740	0.7590
75	3.0000	1.1610	1.1385
76	3.0000	1.1610	1.1385
77	3.0000	1.1610	1.1385
78	3.0000	1.1610	1.1385
79	3.0000	1.1610	1.1385
80	3.0000	1.1610	1.1385
81	3.0000	1.1610	1.1385
82	3.0000	1.1610	1.1385
83	3.0000	1.1610	1.1385
84	2.0000	0.7740	0.7590
85	3.0000	1.1610	1.1385
86	3.0000	1.1610	1.1385
87	3.0000	1.1610	1.1385
88	3.0000	1.1610	1.1385
89	2.0000	0.7740	0.7590
90	3.0000	1.1610	1.1385
91	3.0000	1.1610	1.1385
92	3.0000	1.1610	1.1385
93	3.0000	1.1610	1.1385
94	3.0000	1.1610	1.1385
95	2.0000	0.7740	0.7590
96	3.0000	1.1610	1.1385
97	2.0000	0.7740	0.7590
98	1.0000	0.3870	0.3795
99	2.0000	0.7740	0.7590
100	3.0000	1.1610	1.1385
101	3.0000	1.1610	1.1385
102	2.0000	0.7740	0.7590
103	3.0000	1.1610	1.1385
104	3.0000	1.1610	1.1385
105	3.0000	1.1610	1.1385
106	3.0000	1.1610	1.1385
107	3.0000	1.1610	1.1385
108	3.0000	1.1610	1.1385
109	2.0000	0.7740	0.7590
110	2.0000	0.7740	0.7590
111	3.0000	1.1610	1.1385
112	2.0000	0.7740	0.7590
113	2.0000	0.7740	0.7590
114	2.0000	0.7740	0.7590
115	3.0000	1.1610	1.1385
116	3.0000	1.1610	1.1385
117	2.0000	0.7740	0.7590
118	2.0000	0.7740	0.7590
119	3.0000	1.1610	1.1385
120	1.0000	0.3870	0.3795
121	3.0000	1.1610	1.1385
122	3.0000	1.1610	1.1385
123	3.0000	1.1610	1.1385
124	3.0000	1.1610	1.1385
125	3.0000	1.1610	1.1385
126	1.0000	0.3870	0.3795
127	3.0000	1.1610	1.1385
128	3.0000	1.1610	1.1385
129	3.0000	1.1610	1.1385
130	3.0000	1.1610	1.1385
131	3.0000	1.1610	1.1385
132	3.0000	1.1610	1.1385
133	3.0000	1.1610	1.1385
134	2.0000	0.7740	0.7590
135	3.0000	1.1610	1.1385
136	3.0000	1.1610	1.1385
137	2.0000	0.7740	0.7590
138	2.0000	0.7740	0.7590
139	3.0000	1.1610	1.1385
140	3.0000	1.1610	1.1385
141	3.0000	1.1610	1.1385
142	3.0000	1.1610	1.1385
143	3.0000	1.1610	1.1385
144	2.0000	0.7740	0.7590
145	3.0000	1.1610	1.1385
146	3.0000	1.1610	1.1385
147	2.0000	0.7740	0.7590
148	3.0000	1.1610	1.1385
149	2.0000	0.7740	0.7590
150	3.0000	1.1610	1.1385
151	2.0000	0.7740	0.7590
152	3.0000	1.1610	1.1385
153	3.0000	1.1610	1.1385
154	2.0000	0.7740	0.7590
155	2.0000	0.7740	0.7590
156	3.0000	1.1610	1.1385
157	3.0000	1.1610	1.1385
158	2.0000	0.7740	0.7590
159	1.0000	0.3870	0.3795
160	3.0000	1.1610	1.1385
161	3.0000	1.1610	1.1385
162	3.0000	1.1610	1.1385
163	3.0000	1.1610	1.1385
164	3.0000	1.1610	1.1385
165	3.0000	1.1610	1.1385
166	2.0000	0.7740	0.7590
167	3.0000	1.1610	1.1385
168	3.0000	1.1610	1.1385
169	3.0000	1.1610	1.1385
170	3.0000	1.1610	1.1385
171	2.0000	0.7740	0.7590
172	0.0000	0.0000	0.0000
173	3.0000	1.1610	1.1385
174	3.0000	1.1610	1.1385
175	3.0000	1.1610	1.1385
176	2.0000	0.7740	0.7590
177	3.0000	1.1610	1.1385
178	1.0000	0.3870	0.3795
179	3.0000	1.1610	1.1385
180	3.0000	1.1610	1.1385
181	3.0000	1.1610	1.1385
182	2.0000	0.7740	0.7590
183	3.0000	1.1610	1.1385
184	2.0000	0.7740	0.7590
185	3.0000	1.1610	1.1385
186	3.0000	1.1610	1.1385
187	3.0000	1.1610	1.1385
188	3.0000	1.1610	1.1385
189	3.0000	1.1610	1.1385
190	2.0000	0.7740	0.7590
191	3.0000	1.1610	1.1385
192	3.0000	1.1610	1.1385
193	3.0000	1.1610	1.1385
194	3.0000	1.1610	1.1385
195	2.0000	0.7740	0.7590
196	3.0000	1.1610	1.1385
197	0.0000	0.0000	0.0000
198	3.0000	1.1610	1.1385
199	3.0000	1.1610	1.1385
200	2.0000	0.7740	0.7590
201	3.0000	1.1610	1.1385
202	2.0000	0.7740	0.7590
203	3.0000	1.1610	1.1385
204	3.0000	1.1610	1.1385
205	2.0000	0.7740	0.7590
206	2.0000	0.7740	0.7590
207	1.0000	0.3870	0.3795
208	3.0000	1.1610	1.1385
209	1.0000	0.3870	0.3795
210	2.0000	0.7740	0.7590
211	3.0000	1.1610	1.1385
212	2.0000	0.7740	0.7590
213	2.0000	0.7740	0.7590
214	2.0000	0.7740	0.7590
215	2.0000	0.7740	0.7590
216	3.0000	1.1610	1.1385
217	3.0000	1.1610	1.1385
218	3.0000	1.1610	1.1385
219	2.0000	0.7740	0.7590
220	3.0000	1.1610	1.1385
221	3.0000	1.1610	1.1385
222	3.0000	1.1610	1.1385
223	3.0000	1.1610	1.1385
224	3.0000	1.1610	1.1385
225	3.0000	1.1610	1.1385
226	3.0000	1.1610	1.1385
227	1.0000	0.3870	0.3795
228	3.0000	1.1610	1.1385
229	3.0000	1.1610	1.1385
230	2.0000	0.7740	0.7590
231	3.0000	1.1610	1.1385
232	3.0000	1.1610	1.1385
233	2.0000	0.7740	0.7590
234	3.0000	1.1610	1.1385
235	3.0000	1.1610	1.1385
236	3.0000	1.1610	1.1385
237	3.0000	1.1610	1.1385
238	2.0000	0.7740	0.7590
239	3.0000	1.1610	1.1385
240	2.0000	0.7740	0.7590
241	3.0000	1.1610	1.1385
242	3.0000	1.1610	1.1385
243	1.0000	0.3870	0.3795
244	3.0000	1.1610	1.1385
245	3.0000	1.1610	1.1385
246	3.0000	1.1610	1.1385
247	3.0000	1.1610	1.1385
248	3.0000	1.1610	1.1385
249	3.0000	1.1610	1.1385
250	0.0000	0.0000	0.0000
251	3.0000	1.1610	1.1385
252	3.0000	1.1610	1.1385
253	2.0000	0.7740	0.7590
254	3.0000	1.1610	1.1385
255	3.0000	1.1610	1.1385
256	1.0000	0.3870	0.3795
257	2.0000	0.7740	0.7590
258	3.0000	1.1610	1.1385
259	3.0000	1.1610	1.1385
260	3.0000	1.1610	1.1385
261	3.0000	1.1610	1.1385
262	3.0000	1.1610	1.1385
263	1.0000	0.3870	0.3795
264	3.0000	1.1610	1.1385
265	1.0000	0.3870	0.3795
266	3.0000	1.1610	1.1385
267	3.0000	1.1610	1.1385
268	3.0000	1.1610	1.1385
269	3.0000	1.1610	1.1385
270	3.0000	1.1610	1.1385
271	3.0000	1.1610	1.1385
272	3.0000	1.1610	1.1385
273	3.0000	1.1610	1.1385
274	3.0000	1.1610	1.1385
275	3.0000	1.1610	1.1385
276	3.0000	1.1610	1.1385
277	3.0000	1.1610	1.1385
278	3.0000	1.1610	1.1385
279	2.0000	0.7740	0.7590
280	3.0000	1.1610	1.1385
281	3.0000	1.1610	1.1385
282	3.0000	1.1610	1.1385
283	0.0000	0.0000	0.0000
284	3.0000	1.1610	1.1385
285	3.0000	1.1610	1.1385
286	3.0000	1.1610	1.1385
287	2.0000	0.7740	0.7590
288	3.0000	1.1610	1.1385
289	3.0000	1.1610	1.1385
290	3.0000	1.1610	1.1385
291	3.0000	1.1610	1.1385
292	3.0000	1.1610	1.1385
293	2.0000	0.7740	0.7590
294	3.0000	1.1610	1.1385
295	2.0000	0.7740	0.7590
296	2.0000	0.7740	0.7590
297	3.0000	1.1610	1.1385
298	3.0000	1.1610	1.1385
299	2.0000	0.7740	0.7590
300	2.0000	0.7740	0.7590
301	3.0000	1.1610	1.1385
302	2.0000	0.7740	0.7590
303	3.0000	1.1610	1.1385
304	3.0000	1.1610	1.1385
305	3.0000	1.1610	1.1385
306	3.0000	1.1610	1.1385
307	3.0000	1.1610	1.1385
308	3.0000	1.1610	1.1385
309	1.0000	0.3870	0.3795
310	2.0000	0.7740	0.7590
311	2.0000	0.7740	0.7590
312	2.0000	0.7740	0.7590
313	3.0000	1.1610	1.1385
314	3.0000	1.1610	1.1385
315	3.0000	1.1610	1.1385
316	2.0000	0.7740	0.7590
317	3.0000	1.1610	1.1385
318	3.0000	1.1610	1.1385
319	3.0000	1.1610	1.1385
320	3.0000	1.1610	1.1385
321	0.0000	0.0000	0.0000
322	3.0000	1.1610	1.1385
323	3.0000	1.1610	1.1385
324	3.0000	1.1610	1.1385
325	3.0000	1.1610	1.1385
326	2.0000	0.7740	0.7590
327	3.0000	1.1610	1.1385
328	3.0000	1.1610	1.1385
329	3.0000	1.1610	1.1385
330	3.0000	1.1610	1.1385
331	3.0000	1.1610	1.1385
332	3.0000	1.1610	1.1385
333	3.0000	1.1610	1.1385
334	3.0000	1.1610	1.1385
335	1.0000	0.3870	0.3795
336	3.0000	1.1610	1.1385
337	2.0000	0.7740	0.7590
338	3.0000	1.1610	1.1385
339	2.0000	0.7740	0.7590
340	3.0000	1.1610	1.1385
341	3.0000	1.1610	1.1385
342	3.0000	1.1610	1.1385
343	3.0000	1.1610	1.1385
344	3.0000	1.1610	1.1385
345	3.0000	1.1610	1.1385
346	3.0000	1.1610	1.1385
347	3.0000	1.1610	1.1385
348	3.0000	1.1610	1.1385
349	0.0000	0.0000	0.0000
350	3.0000	1.1610	1.1385
351	3.0000	1.1610	1.1385
352	2.0000	0.7740	0.7590
